episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,139,0.9988849111111111,-28.420107035160072,0.12444444444444444,0,139,0.19424460431654678,0.0,0.6258992805755396,0.03597122302158273,0.0,0.8201438848920863,0.08633093525179857,0.09352517985611511,58.0,0.5539568345323741,0.02,100.20101938247656,0.0011975926067373517,0.2694583365159041,0.6072624439837692,0.0,0.6,0.07111111111111111,0.12444444444444444,nan,0.0,0.0,0.0,0.149875,-471.7,0.0044444444444444444,3.0,250.0,1.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,1.0,250.0,0.98,0.0,74.99999999999964,0.0,0.0,0.12077613731424354,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,-402.39930092930797,0.0044444444444444444,2.25,226.75,0.75,0.25,0.0,0.0,0.0,0.9954076433121019,0.0,0.0,0.0,1.0,226.75,0.9770382165605095,0.0,81.2623898029324,0.0,0.0,0.12822455016259512,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.009333333333333334
2,279,0.9977618,-14.187640706539154,0.27111111111111114,0,140,0.42857142857142855,0.0,0.34285714285714286,0.04285714285714286,0.0,0.7714285714285715,0.12857142857142856,0.1,43.0,0.3142857142857143,0.04444444444444445,100.78705434799171,0.0026458424486336856,0.5953145509425791,0.7935506947541762,0.0,0.6538461538461539,0.15555555555555556,0.27111111111111114,nan,0.0,0.0,0.0,0.14975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,408,0.9956933333333333,-4.606692088603978,0.29333333333333333,0,129,0.5038759689922481,0.0,0.18604651162790697,0.023255813953488372,0.0,0.689922480620155,0.13953488372093023,0.17054263565891473,8.0,0.03875968992248062,0.055925925925925934,100.40659132003766,0.0028771904821276086,0.6473678584787118,0.9423205668992255,0.0,0.7837837837837838,0.12444444444444444,0.2311111111111111,nan,0.0,0.0,0.0,0.149625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,598,0.9936877777777777,-1.6372204434871662,0.5066666666666667,-2,190,0.5947368421052631,0.010526315789473684,0.09473684210526316,0.02631578947368421,0.005263157894736842,0.7,0.13157894736842105,0.16842105263157894,7.0,0.021052631578947368,0.06648148148148149,132.87828993797285,0.0037795656646142715,0.850402274538211,0.9433226926152191,0.005263157894736842,0.9230769230769231,0.1288888888888889,0.25333333333333335,0.39555555555555555,0.0,0.0,0.0,0.1495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,765,0.9938629999999999,-7.404186927795411,0.3466666666666667,0,167,0.46107784431137727,0.005988023952095809,0.25149700598802394,0.029940119760479042,0.0,0.718562874251497,0.11976047904191617,0.16167664670658682,21.0,0.16167664670658682,0.04888888888888889,120.11606597900366,0.002849096159060378,0.6410466357885849,0.9014574294006525,0.0,0.8333333333333334,0.14222222222222222,0.27111111111111114,0.3466666666666667,0.0,0.0,0.0,0.149375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,948,0.9899933333333333,-6.077199247837068,0.39555555555555555,0,183,0.4808743169398907,0.0,0.2185792349726776,0.03278688524590164,0.0,0.6994535519125683,0.16393442622950818,0.1366120218579235,23.0,0.13114754098360656,0.05597222222222222,120.18284997940032,0.003254300519401468,0.7322176168653303,0.9037086151375212,0.0,0.7346938775510204,0.13777777777777778,0.24,0.3422222222222222,0.0,0.0,0.0,0.14925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1098,0.9911916000000001,-33.752500000000005,0.17333333333333334,0,150,0.25333333333333335,0.006666666666666667,0.48,0.05333333333333334,0.0,0.74,0.11333333333333333,0.14666666666666667,74.0,0.4666666666666667,0.028148148148148148,100.49999999999974,0.001680486456605864,0.37810945273631935,0.6730653146082131,0.0,0.6774193548387096,0.10222222222222223,0.17333333333333334,0.17333333333333334,0.0,0.0,0.0,0.149125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1217,0.9878294991769547,-8.63287042760849,0.19555555555555557,0,119,0.36134453781512604,0.0,0.3445378151260504,0.05042016806722689,0.008403361344537815,0.7058823529411765,0.15126050420168066,0.14285714285714285,16.0,0.21008403361344538,0.038783625730994156,90.46543264389025,0.0021125318867749663,0.4753196745243674,0.8941710950745405,0.0,0.6551724137931034,0.12444444444444444,0.18666666666666668,nan,0.0,0.0,0.0,0.149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1398,0.9852433333333334,-2.978130939960491,0.4577777777777778,0,181,0.56353591160221,0.0,0.13812154696132597,0.011049723756906077,0.0,0.7016574585635359,0.143646408839779,0.15469613259668508,9.0,0.049723756906077346,0.0637037037037037,130.02029466629,0.003486635178737738,0.784492915215991,0.9462924886728403,0.0,0.8431372549019608,0.09333333333333334,0.21777777777777776,0.36444444444444446,0.0,0.0,0.0,0.148875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1498,0.9841877777777778,-1.4746087760925297,0.27111111111111114,0,100,0.6,0.01,0.05,0.04,0.01,0.66,0.14,0.2,5.0,0.0,0.06666666666666668,70.32960739135737,0.0037916700598478914,0.8531257634657754,0.9912132034355965,0.0,0.9666666666666667,0.14666666666666667,0.27111111111111114,nan,0.0,0.0,0.0,0.14875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
