episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_ce_loss,mean_td_error,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,193,0.997980886419753,-4.51934819364548,0.4088888888888889,0,193,0.47150259067357514,0.08290155440414508,0.07253886010362694,0.07253886010362694,0.0,0.6269430051813472,0.20725388601036268,0.16580310880829016,15.0,0.11398963730569948,0.05185185185185186,140.77474470138523,0.0028729900757579903,0.6464227670455477,0.9773523931159309,0.0,0.7241379310344828,0.1511111111111111,0.22666666666666666,0.32,0.0,0.0,0.0,-471.7,0.0044444444444444444,3.0,250.0,1.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,1.0,0.0,250.0,0.98,0.0,74.99999999999964,0.0,0.0,0.2411092147648631,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,-402.39930092930797,0.0044444444444444444,2.25,226.75,0.75,0.25,0.0,0.0,0.0,0.9954076433121019,0.0,0.0,1.0,0.0,226.75,0.9770382165605095,0.0,81.2623898029324,0.0,0.0,0.25586038507318787,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.009333333333333334
2,317,0.9966538888888888,-5.54729009199143,0.27111111111111114,0,124,0.4838709677419355,0.024193548387096774,0.12903225806451613,0.056451612903225805,0.008064516129032258,0.6370967741935484,0.1774193548387097,0.18548387096774194,21.0,0.1532258064516129,0.05381481481481483,90.03133420944197,0.0029619317430786252,0.6664346421926906,0.9515388644430682,0.0,0.7105263157894737,0.09333333333333334,0.21333333333333335,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,497,0.9947538888888889,-3.6218054320812243,0.4177777777777778,0,180,0.5166666666666667,0.005555555555555556,0.12777777777777777,0.08333333333333333,0.0,0.65,0.17777777777777778,0.17222222222222222,12.0,0.06666666666666667,0.05833333333333335,120.44576601982092,0.003431696663088298,0.7721317491948669,0.9507682339775596,0.0,0.6875,0.1111111111111111,0.22666666666666666,0.3377777777777778,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,651,0.9931283333333333,-1.7050359075069415,0.37777777777777777,0,154,0.5454545454545454,0.012987012987012988,0.08441558441558442,0.05844155844155844,0.0,0.6428571428571429,0.2077922077922078,0.14935064935064934,10.0,0.05194805194805195,0.06333333333333332,100.39081816673254,0.0037187995889553208,0.8367299075149471,0.978453235557628,0.006493506493506494,0.8695652173913043,0.12,0.25333333333333335,0.36444444444444446,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,812,0.9934859555555555,-9.108768224239348,0.27111111111111114,0,161,0.37267080745341613,0.031055900621118012,0.19875776397515527,0.12422360248447205,0.006211180124223602,0.6024844720496895,0.2236024844720497,0.17391304347826086,56.0,0.37267080745341613,0.03809523809523809,100.02636404037456,0.0026659638108911927,0.5998418574505182,0.9119617563641791,0.024844720496894408,0.6136363636363636,0.10222222222222223,0.26222222222222225,0.27111111111111114,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,955,0.990009049382716,-10.924245904445652,0.18222222222222223,0,143,0.27972027972027974,0.055944055944055944,0.3076923076923077,0.0979020979020979,0.0,0.6433566433566433,0.20279720279720279,0.15384615384615385,41.0,0.42657342657342656,0.030781893004115227,100.24996099472034,0.001773345106709223,0.39900264900957516,0.8707714808971668,0.0,0.4594594594594595,0.08444444444444445,0.13333333333333333,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1151,0.9880935444444444,-6.336481797218327,0.4088888888888889,0,196,0.4642857142857143,0.05612244897959184,0.10204081632653061,0.10204081632653061,0.00510204081632653,0.6224489795918368,0.1989795918367347,0.17857142857142858,32.0,0.16326530612244897,0.05182539682539683,120.19506473541225,0.0033649005916736763,0.7571026331265771,0.9260062114567398,0.01020408163265306,0.7169811320754716,0.12,0.24,0.29777777777777775,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1311,0.9861616666666667,-1.6542757320404045,0.40444444444444444,0,160,0.5625,0.03125,0.05625,0.05625,0.0,0.65,0.20625,0.14375,11.0,0.0625,0.06476190476190477,110.70738792419417,0.0036131283331686612,0.8129538749629487,0.9869111087120988,0.0125,0.8085106382978723,0.1288888888888889,0.25333333333333335,0.3688888888888889,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1445,0.9856058971193415,-15.452715990543362,0.10222222222222223,0,134,0.16417910447761194,0.07462686567164178,0.3283582089552239,0.15671641791044777,0.007462686567164179,0.5671641791044776,0.2462686567164179,0.1865671641791045,62.0,0.5746268656716418,0.017613168724279836,80.08300943374613,0.0012209553370827154,0.27471495084361097,0.8214405444358623,0.007462686567164179,0.3333333333333333,0.08888888888888889,0.09777777777777778,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1600,0.9831111111111112,-4.5648506431579605,0.3111111111111111,0,155,0.44516129032258067,0.03225806451612903,0.14838709677419354,0.07096774193548387,0.0,0.6258064516129033,0.21935483870967742,0.15483870967741936,16.0,0.12903225806451613,0.053968253968253964,100.28429183959945,0.003057973098689945,0.6880439472052375,0.9550246709251696,0.0,0.6595744680851063,0.09777777777777778,0.21333333333333335,0.29333333333333333,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
